sample,code,station,site_name,type,lat,long,trench,lat_proj,province,simpl_prov,plate,region,geol_prov,rocks,volcano,anions,cations,alt,temp,mmhg,do,spc,ph,fnu,hum,temp_amb,dic,dic_d13,doc,doc_d13,toc,toc_d13,tc,tc_d13,tn,tn_d15,co2,he,h2,o2,ar,n2,ch4,co2_d13,rc_ra,X,co2_he3,cells_flu,low_pah,hi_pah,pah,ah,prot,cho,lip,cha,feo,cpe,al_ac,cr_ac,mn_ac,fe_ac,ni_ac,cu_ac,zn_ac,cd_ac,ag_ac,co_ac,f,cl,so4,h2s,br,no3,po4,li,na,nh4,k,mg,ca,si,al_s,cr_s,mn_s,fe_s,ni_s,cu_s,zn_s,cd_s,ag_s
DCO_LLO_Bv4v5..BRF1_BR170218_1,BR,BR170218_1,Blue River Spring 1,F,10.89837,-85.32839,173.6942085364,9.4605581588247,arc,arc,smooth,guanacaste,4,QPV,Ri,gw,g2,437,59,724,41,5995,6.16,NA,71.5,31.1,9.56,0.23,0.8,-11.16,1.646881,-25.7456328,0.5746944,-14.7835752,0.0236155,-10.1229962,946.9,0.00748,0.00046,2.5919,1.28277,47.54107,1.71451,-3.66,6.524674796,32.291473414,13635960891.0674,1100000,60.3,16,76.3,146.8,2.41,1.31,39.74,0,0,0,0.6796165463,0.4554397685,41.29364408,10.15977247,9.306990517,0.09124381798,0.3355623507,0.002906261886,0.005796074991,0.02465552312,0.020541578947368,29.0267707,4.230057232,0.05,0.01753425,0,0.001300210526,0.03108857143,9.281077826,0,3.034424552,11.56015267,5.854645387,39.228,1.6,1.3,3286.5,403.7,1.6,11,15.7,0.075,0.12
DCO_LLO_Bv4v5..BRF2_BR170218_2,BR,BR170218_2,Blue River Spring 2,F,10.89837,-85.32853,173.683521241298,9.46064666238196,arc,arc,smooth,guanacaste,4,QPV,Ri,gw,g2,434,53.8,724.5,7,5755,5.87,NA,67,32.7,9.31,0.96,0.89,-10.75,1.2419807,-28.3057564,2.2865734,-24.4030145,0.1462832,-2.2807007,NA,NA,NA,NA,NA,NA,NA,NA,6.524674796,32.291473414,13635960891.0674,1200000,8.2,5.6,13.8,168.7,15.69,NA,14.29,2.88451377778414,0,2.88451377778414,0.6690971106,0.4649618113,39.05607182,12.06780678,8.893085926,0.08265877435,0.2234029671,0.002177091092,0.005455381613,0.01743926757,0,16.75222,3.716773049,0.05,0.009033625,0,0.001540315789,0.01865142857,5.524147391,0.0001266666667,1.746733248,6.754381481,5.449088529,46.7,2.4,0.9,833.5,403.2,2.1,14.1,7,0.199,0.15
DCO_LLO_Bv4v5..BRS1_BR170218_1,BR,BR170218_1,Blue River Spring 1,S,10.89837,-85.32839,173.6942085364,9.4605581588247,arc,arc,smooth,guanacaste,4,QPV,Ri,gw,g2,437,59,724,41,5995,6.16,NA,71.5,31.1,9.56,0.23,0.8,-11.16,1.646881,-25.7456328,0.5746944,-14.7835752,0.0236155,-10.1229962,946.9,0.00748,0.00046,2.5919,1.28277,47.54107,1.71451,-3.66,6.524674796,32.291473414,13635960891.0674,1100000,60.3,16,76.3,146.8,2.41,1.31,39.74,0,0,0,0.6796165463,0.4554397685,41.29364408,10.15977247,9.306990517,0.09124381798,0.3355623507,0.002906261886,0.005796074991,0.02465552312,0.020541578947368,29.0267707,4.230057232,NA,0.01753425,0,0.001300210526,0.03108857143,9.281077826,0,3.034424552,11.56015267,5.854645387,39.228,1.6,1.3,3286.5,403.7,1.6,11,15.7,0.075,0.12
DCO_LLO_Bv4v5..BRS2_BR170218_2,BR,BR170218_2,Blue River Spring 2,S,10.89837,-85.32853,173.683521241298,9.46064666238196,arc,arc,smooth,guanacaste,4,QPV,Ri,gw,g2,434,53.8,724.5,7,5755,5.87,NA,67,32.7,9.31,0.96,0.89,-10.75,1.2419807,-28.3057564,2.2865734,-24.4030145,0.1462832,-2.2807007,NA,NA,NA,NA,NA,NA,NA,NA,6.524674796,32.291473414,13635960891.0674,1200000,8.2,5.6,13.8,168.7,15.69,NA,14.29,2.88451377778414,0,2.88451377778414,0.6690971106,0.4649618113,39.05607182,12.06780678,8.893085926,0.08265877435,0.2234029671,0.002177091092,0.005455381613,0.01743926757,0,16.75222,3.716773049,NA,0.009033625,0,0.001540315789,0.01865142857,5.524147391,0.0001266666667,1.746733248,6.754381481,5.449088529,46.7,2.4,0.9,833.5,403.2,2.1,14.1,7,0.199,0.15
DCO_LLO_Bv4v5..CYF_CY170214,CY,CY170214,Rio Cayuco,F,10.287497,-84.955524,140.907121604744,9.12120203253831,forearc,forearc,smooth,forearc,3,TV,f,gw,g3,184,72,742.9,26.7,5821,6.31,4.4,55,NA,5.24,-4.99,1.82,-7.78,0.2467956,-23.2067987,9.2372675,3.4653422,0.0396424,0.3991181,994.9,0,0.00139,1.11783,0.08422,3.90521,0.0018,-2.4,0.594258722,1.241912081,180700699695.072,NA,6.5,5.1,11.6,64.4,3.56,1.91,3.8,0,0,0,1.584266567,0.4823738713,3.932629565,6.642227237,5.910537378,0.1740889645,0.2726497554,0.002343758639,0.0104913935,0.0523178735,0.153907368421053,15.43938394,4.418429969,0.05,0.005762,0.03620548387,0.00181,0.1397042857,18.30385261,0.09306666667,0.8131575448,0.9733975309,3.413439152,23.35,45.9,10.7,1167.5,66.2,17.3,55.9,97.9,0.218,1.17
DCO_LLO_Bv4v5..CYS_CY170214,CY,CY170214,Rio Cayuco,S,10.287497,-84.955524,140.907121604744,9.12120203253831,forearc,forearc,smooth,forearc,3,TV,f,gw,g3,184,72,742.9,26.7,5821,6.31,4.4,55,NA,5.24,-4.99,1.82,-7.78,0.2467956,-23.2067987,9.2372675,3.4653422,0.0396424,0.3991181,994.9,0,0.00139,1.11783,0.08422,3.90521,0.0018,-2.4,0.594258722,1.241912081,180700699695.072,NA,6.5,5.1,11.6,64.4,3.56,1.91,3.8,0,0,0,1.584266567,0.4823738713,3.932629565,6.642227237,5.910537378,0.1740889645,0.2726497554,0.002343758639,0.0104913935,0.0523178735,0.153907368421053,15.43938394,4.418429969,NA,0.005762,0.03620548387,0.00181,0.1397042857,18.30385261,0.09306666667,0.8131575448,0.9733975309,3.413439152,23.35,45.9,10.7,1167.5,66.2,17.3,55.9,97.9,0.218,1.17
DCO_LLO_Bv4v5..EPF_EP170215,EP,EP170215,Espabel,F,9.901885,-85.454327,74.291955570348,9.28706152250684,outer_forearc,forearc,smooth,forearc,1,JSFB,f,iw,g2,NA,26.4,748,4,198.2,9.99,2.1,NA,NA,0.55,-21.57,0.22,-25.48,3.1,-27.89,1.4,-26.74,0.06,0.11,0,0,0.08637,29.17423,24.56759,942.35128,3.82052,NA,NA,NA,NA,NA,9.9,4.3,14.2,48.1,2.37,7.47,4.69,0.894300180662066,0.18156,0.656720120441377,12.38269197,0.5271898232,0.2223330844,0.7714089387,0.1222138885,0.0319198432,0.07786737175,0.0002395835978,0.007667604737,0.03247313786,0.005211578947368,0.2339501408,0.03004984391,0.05,0,0.04682032258,0.0005838947368,0.0005971428571,1.248731739,0.001283888889,0.03935780051,0.4939938272,0.4751009975,NA,70.1,229.9,1665.1,122.2,118.1,159.9,144.4,0.292,0.98
DCO_LLO_Bv4v5..EPS_EP170215,EP,EP170215,Espabel,S,9.901885,-85.454327,74.291955570348,9.28706152250684,outer_forearc,forearc,smooth,forearc,1,JSFB,f,iw,g2,NA,26.4,748,4,198.2,9.99,2.1,NA,NA,0.55,-21.57,0.22,-25.48,3.1,-27.89,1.4,-26.74,0.06,0.11,0,0,0.08637,29.17423,24.56759,942.35128,3.82052,NA,NA,NA,NA,NA,9.9,4.3,14.2,48.1,2.37,7.47,4.69,0.894300180662066,0.18156,0.656720120441377,12.38269197,0.5271898232,0.2223330844,0.7714089387,0.1222138885,0.0319198432,0.07786737175,0.0002395835978,0.007667604737,0.03247313786,0.005211578947368,0.2339501408,0.03004984391,NA,0,0.04682032258,0.0005838947368,0.0005971428571,1.248731739,0.001283888889,0.03935780051,0.4939938272,0.4751009975,NA,70.1,229.9,1665.1,122.2,118.1,159.9,144.4,0.292,0.98
DCO_LLO_Bv4v5..ESF9_ES_F9,ES,ES170215_1,Estrada,F,9.899005,-85.453514,74.0822378089719,9.28591743779851,outer_forearc,forearc,smooth,forearc,1,JSFB,f,iw,g3,122,27.9,749.4,48.3,226.7,9.75,3.1,65.5,30.6,1.14,-17.98,1.57,-24.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.962744255,0.506125822,0.03944191919,0.686488501,0.07543438077,0.01844597423,0.06472062397,0.0001562500553,0.006330455833,0.02645958764,0.011016842105263,1.06332,0.1559355879,0.05,0.00053175,0.08072983871,0.0007451578947,0.0002214285714,2.292455652,0.5920227778,0.1396800512,0.03817489712,0.3075261845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..ETF_ET170220,ET,ET170220_1,Eco Thermales 1,F,10.484006,-84.675853,173.292857994931,9.04954184211008,arc,arc,smooth,guanacaste,4,QPI,Ar,gw,g2,368,40,728.6,13.4,1911,6.06,4.4,74.9,28.3,NA,NA,NA,NA,1.0475886,-28.6769596,1.640584,-27.4539505,0.1579822,8.5690342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51600,18.6,0.9,19.5,77,NA,NA,NA,NA,NA,NA,1.151346489,0.5780944083,38.00010641,1.60518005,2.381214776,0.05591920691,0.2050641716,0.004822942808,0.00400163227,0.03187178271,0,8.156303099,1.547502393,NA,0.002444875,0.05326258065,0.003135263158,0.01258857143,4.294620435,0,0.65172711,3.635083951,1.748588529,47.634,114.6,38.4,3434,57.6,36,227.9,100.6,0.826,1.5
