"","EC","ARS","BQF","BQS","BQS1","BR1F","BRF1","BRF2","BRS1","BRS2","CYF","CYS","EPF","EPS","ESF9","ETS","FAS","MTF","PBS","PFF","PFS","PGF","PGS","PLS","QH2F","QHS1","QHS2","QNF","QNS","RSF","RSS","RVF","SIF","SIS","SLF","SLS","TCF","TCS"
"1","1.1.1.1",170,26,19,10,138,86,112,140,172,576,280,98,251,97,195,442,106,42,220,80,38,277,16,24,2065,28,347,223,214,156,216,113,112,231,71,308,43
"2","1.1.1.100",3688,824,1510,851,6176,4815,5002,6969,8693,5705,10403,4402,7748,4707,3861,11150,6320,2687,7031,3163,1712,9072,8528,12455,24382,4443,6922,8692,4866,3782,4066,6005,7717,4914,2069,5572,5589
"3","1.1.1.103",232,33,96,28,311,190,126,580,470,1139,754,98,249,42,221,604,983,13,194,76,27,639,224,23,3883,74,212,174,128,141,41,19,296,252,85,298,354
"4","1.1.1.107",207,184,152,268,121,76,60,232,264,66,342,97,214,99,188,252,75,39,184,65,52,311,30,17,119,32,243,160,183,133,52,46,294,147,31,149,56
"5","1.1.1.108",28,1,14,7,41,28,74,2,10,97,176,19,81,49,24,4,28,5,84,20,29,328,2,NA,326,3,313,139,69,40,26,33,42,46,6,102,5
"6","1.1.1.127",187,1,55,NA,218,317,155,83,506,231,488,406,614,186,343,561,212,32,629,222,112,912,46,6,84,101,454,278,652,793,183,146,562,272,106,279,128
"7","1.1.1.130",1,NA,16,NA,15,6,5,11,17,NA,2,12,41,2,NA,NA,2,1,20,44,12,85,12,2,NA,NA,24,30,25,13,NA,4,2,7,NA,16,22
"8","1.1.1.132",278,NA,28,NA,161,115,301,239,241,237,579,173,221,48,378,342,156,33,487,149,49,525,126,3,13029,19,332,257,243,141,154,42,121,317,56,452,223
"9","1.1.1.133",279,5,88,1,375,1087,1179,203,582,245,561,466,800,3656,268,268,447,93,1233,607,292,983,314,637,4607,759,1952,3212,268,204,1458,4975,656,324,63,643,155
"10","1.1.1.136",1111,NA,244,3,1924,1149,983,2104,3125,1859,3611,1092,2744,539,1082,4367,1078,253,1983,766,264,2758,788,336,2114,678,1350,1949,1724,1500,428,729,2239,1532,785,1417,1152
"11","1.1.1.157",493,44,74,28,365,196,110,605,980,500,1409,213,503,143,564,1080,309,46,444,243,92,889,134,47,663,66,656,548,446,301,105,225,410,431,109,467,195
"12","1.1.1.159",31,NA,6,NA,26,10,16,44,77,8,50,27,44,18,31,61,15,10,56,29,27,75,1,4,84,7,56,36,64,25,10,15,103,49,29,105,10
"13","1.1.1.169",NA,NA,NA,NA,74,87,8,44,54,37,13,3,18,7,10,190,8,2,20,5,6,17,9,29,10,62,9,36,22,11,6,4,22,21,20,55,10
"14","1.1.1.175",17,NA,11,NA,28,39,56,3,4,23,28,8,19,33,29,2,37,14,61,19,64,122,1,NA,6,1,92,52,25,17,131,16,14,37,NA,41,1
"15","1.1.1.18",47,2,38,NA,170,237,116,106,192,332,449,45,178,124,72,295,171,12,200,60,129,479,14,22,145,26,315,154,164,93,65,114,293,114,46,248,37
